{{MatchSchedule|team1=USG |team2=La Cucaracha |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Team IQ |team2=Syrians |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=TeamName |team2=Inting Strats |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Inferno |team2=heroes |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Mohamed Emad |team2=Global Map Awareness |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Oxygen |team2=Disconnected Universe |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Mute The Silence |team2=Team Full Skin |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Pantheon Gamers |team2=Knockout Kings |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=KGTeaM |team2=المتوحدون الخمسة |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=unkownsquad |team2=Mozrabs |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Brotherhood |team2=EL-Homies |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=defilers |team2=Old School |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=KG FORCE |team2=MOSFETS |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Fear Beyond Death |team2=INFINITY EDGE GAMING |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Horus Gaming |team2=Soul Reapers Team |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=The Wandering Minds |team2=gate keepers |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Waiting The Flash |team2=DunkMasters X |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Guardian Devil Team |team2=Challengers |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Always Miss cannon |team2=Zombie Land |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Suicide Gang |team2=Team 10 |team1score= |team2score= |winner= |date=2020-05-29|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=عبعال والصحبة |team2=Hydra Gaming |team1score= |team2score= |winner= |date=2020-05-30|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Black Minions |team2=RAGE Esports |team1score= |team2score= |winner= |date=2020-05-30|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Team 9 |team2=Trojans |team1score= |team2score= |winner= |date=2020-05-30|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Dark Lords Gaming |team2=KG Team 10 |team1score= |team2score= |winner= |date=2020-05-30|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Sad Mad Bad Dad |team2=Team Ninja Turtles |team1score= |team2score= |winner= |date=2020-05-30|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=ALEXLoL |team2=elnegma |team1score= |team2score= |winner= |date=2020-05-30|time=20:00 |timezone=CET |dst=yes |stream= }}
{{MatchSchedule|team1=Always Ban Yasuo |team2=Southside Serpents |team1score= |team2score= |winner= |date=2020-05-30|time=20:00 |timezone=CET |dst=yes |stream= }}
